ID;Fecha;Tipo_Incidente;Ubicacion;Concesion;Severidad;Estado;Responsable;Tiempo_Resolucion_Horas
24;24/05/2026;Accidente;Aeropuerto José María Córdova;Conexión Pacífico;Alta;Cerrado;Carlos Gómez;16
25;2/05/2026;Mantenimiento;Peaje Copacabana;Túnel de Oriente;Alta;Abierto;María Restrepo;
26;2/05/2026;Inundación;La Ceja;Autopistas del Nordeste;Media;Cerrado;Andrés Cano;5
27;27/05/2026;Falla mecánica;Peaje Las Palmas;Túnel de Oriente;Baja;Abierto;Andrés Cano;
28;1/06/2026;Inundación;Rionegro;Vía al Oriente;Baja;Cerrado;Laura Vélez;18
29;11/06/2026;Mantenimiento;Marinilla;Aeropuerto José María Córdova;Media;Cerrado;Andrés Cano;17
30;24/05/2026;Falla mecánica;Peaje Copacabana;Vía al Oriente;Baja;Cerrado;María Restrepo;12
31;20/05/2026;Accidente;Peaje Copacabana;Vía al Oriente;Baja;Cerrado;Carlos Gómez;17
32;1/05/2026;Falla mecánica;Rionegro;Túnel de Oriente;Alta;Cerrado;María Restrepo;2
33;9/05/2026;Falla eléctrica;Peaje Las Palmas;Túnel de Oriente;Media;Cerrado;Ana Ruiz;16
34;14/05/2026;Accidente;Peaje Copacabana;Aeropuerto José María Córdova;Alta;Abierto;Laura Vélez;
35;15/06/2026;Mantenimiento;Túnel de Oriente;Autopistas del Nordeste;Alta;Cerrado;Laura Vélez;19
36;15/06/2026;Bloqueo;La Ceja;Autopistas del Nordeste;Alta;Abierto;Laura Vélez;
37;1/06/2026;Accidente;La Ceja;Conexión Pacífico;Media;Abierto;Andrés Cano;
38;18/05/2026;Vandalismo;Túnel de Oriente;Aeropuerto José María Córdova;Media;Cerrado;María Restrepo;13
39;1/05/2026;Accidente;La Ceja;Túnel de Oriente;Media;Abierto;Andrés Cano;
40;6/06/2026;Accidente;Marinilla;Túnel de Oriente;Media;Abierto;Andrés Cano;
41;29/05/2026;Mantenimiento;Rionegro;Conexión Pacífico;Alta;Cerrado;Andrés Cano;7
42;23/05/2026;Mantenimiento;Marinilla;Conexión Pacífico;Alta;Cerrado;Ana Ruiz;15
43;29/05/2026;Falla mecánica;Guarne;Autopistas del Nordeste;Baja;Abierto;Ana Ruiz;
44;5/06/2026;Falla eléctrica;Peaje Copacabana;Autopistas del Nordeste;Baja;Abierto;Andrés Cano;
45;23/05/2026;Accidente;Peaje Copacabana;Autopistas del Nordeste;Media;Cerrado;Carlos Gómez;20
46;30/05/2026;Falla eléctrica;Rionegro;Aeropuerto José María Córdova;Baja;Abierto;Ana Ruiz;
47;30/05/2026;Mantenimiento;Marinilla;Conexión Pacífico;Baja;Abierto;Laura Vélez;
48;9/05/2026;Mantenimiento;Túnel de Oriente;Vía al Oriente;Baja;Abierto;Carlos Gómez;
49;11/05/2026;Falla mecánica;Peaje Las Palmas;Autopistas del Nordeste;Baja;Abierto;María Restrepo;
50;23/05/2026;Falla eléctrica;Guarne;Autopistas del Nordeste;Media;Abierto;María Restrepo;
51;28/05/2026;Inundación;Peaje Copacabana;Vía al Oriente;Baja;Cerrado;Laura Vélez;24
52;9/06/2026;Mantenimiento;Marinilla;Vía al Oriente;Media;Abierto;Laura Vélez;
53;29/05/2026;Bloqueo;Peaje Las Palmas;Aeropuerto José María Córdova;Alta;Cerrado;Ana Ruiz;11
54;17/05/2026;Bloqueo;Aeropuerto José María Córdova;Túnel de Oriente;Baja;Abierto;Ana Ruiz;
55;20/05/2026;Vandalismo;Rionegro;Conexión Pacífico;Alta;Abierto;Carlos Gómez;
56;1/05/2026;Mantenimiento;Guarne;Túnel de Oriente;Media;Cerrado;Andrés Cano;23
57;18/05/2026;Mantenimiento;La Ceja;Vía al Oriente;Baja;Cerrado;Carlos Gómez;13
58;30/05/2026;Falla eléctrica;Aeropuerto José María Córdova;Conexión Pacífico;Media;Abierto;Andrés Cano;
59;15/06/2026;Mantenimiento;Aeropuerto José María Córdova;Conexión Pacífico;Media;Abierto;Juan Pérez;
60;28/05/2026;Falla mecánica;Rionegro;Túnel de Oriente;Media;Abierto;Carlos Gómez;
61;23/05/2026;Vandalismo;Túnel de Oriente;Aeropuerto José María Córdova;Baja;Abierto;Ana Ruiz;
62;4/06/2026;Mantenimiento;Aeropuerto José María Córdova;Aeropuerto José María Córdova;Media;Abierto;Ana Ruiz;
63;27/05/2026;Falla eléctrica;Túnel de Oriente;Vía al Oriente;Baja;Cerrado;Carlos Gómez;21
64;4/05/2026;Vandalismo;Guarne;Conexión Pacífico;Baja;Cerrado;Laura Vélez;5
65;26/05/2026;Vandalismo;Peaje Copacabana;Autopistas del Nordeste;Baja;Abierto;María Restrepo;
66;10/05/2026;Accidente;La Ceja;Autopistas del Nordeste;Media;Cerrado;Andrés Cano;15
67;1/05/2026;Falla mecánica;Peaje Copacabana;Autopistas del Nordeste;Media;Abierto;Carlos Gómez;
68;24/05/2026;Inundación;Aeropuerto José María Córdova;Túnel de Oriente;Media;Cerrado;Ana Ruiz;8
69;22/05/2026;Falla mecánica;Túnel de Oriente;Autopistas del Nordeste;Alta;Cerrado;Juan Pérez;7
70;9/06/2026;Mantenimiento;Rionegro;Vía al Oriente;Media;Cerrado;Juan Pérez;9
71;13/06/2026;Inundación;Túnel de Oriente;Conexión Pacífico;Baja;Cerrado;Ana Ruiz;12
72;16/05/2026;Accidente;Aeropuerto José María Córdova;Autopistas del Nordeste;Baja;Abierto;María Restrepo;
73;1/06/2026;Falla eléctrica;Guarne;Conexión Pacífico;Baja;Cerrado;Andrés Cano;2
74;13/05/2026;Accidente;Túnel de Oriente;Aeropuerto José María Córdova;Baja;Abierto;María Restrepo;
75;17/05/2026;Inundación;Peaje Copacabana;Túnel de Oriente;Media;Cerrado;Laura Vélez;5
76;26/05/2026;Falla eléctrica;Peaje Copacabana;Conexión Pacífico;Baja;Abierto;María Restrepo;
77;15/05/2026;Falla mecánica;Túnel de Oriente;Túnel de Oriente;Baja;Cerrado;Laura Vélez;21
78;22/05/2026;Inundación;La Ceja;Conexión Pacífico;Baja;Abierto;Juan Pérez;
79;4/05/2026;Inundación;Rionegro;Aeropuerto José María Córdova;Baja;Abierto;Andrés Cano;
80;9/06/2026;Mantenimiento;Rionegro;Autopistas del Nordeste;Alta;Cerrado;Laura Vélez;15
81;21/05/2026;Accidente;Peaje Copacabana;Autopistas del Nordeste;Media;Abierto;Laura Vélez;
82;23/05/2026;Accidente;Rionegro;Autopistas del Nordeste;Baja;Abierto;Juan Pérez;
83;9/05/2026;Inundación;Túnel de Oriente;Conexión Pacífico;Alta;Cerrado;Carlos Gómez;23
84;4/06/2026;Mantenimiento;La Ceja;Vía al Oriente;Alta;Abierto;María Restrepo;
85;25/05/2026;Accidente;Túnel de Oriente;Conexión Pacífico;Alta;Abierto;Juan Pérez;
86;9/05/2026;Accidente;Peaje Copacabana;Aeropuerto José María Córdova;Media;Cerrado;Laura Vélez;24
87;14/06/2026;Vandalismo;Guarne;Vía al Oriente;Baja;Abierto;María Restrepo;
88;13/05/2026;Inundación;Aeropuerto José María Córdova;Autopistas del Nordeste;Media;Cerrado;Juan Pérez;16
89;8/06/2026;Accidente;La Ceja;Autopistas del Nordeste;Alta;Cerrado;Ana Ruiz;20
90;9/06/2026;Falla mecánica;Peaje Copacabana;Conexión Pacífico;Alta;Abierto;Andrés Cano;
91;31/05/2026;Falla mecánica;Aeropuerto José María Córdova;Vía al Oriente;Baja;Abierto;Juan Pérez;
92;3/06/2026;Mantenimiento;Guarne;Vía al Oriente;Alta;Abierto;María Restrepo;
93;23/05/2026;Falla mecánica;Aeropuerto José María Córdova;Aeropuerto José María Córdova;Alta;Cerrado;Laura Vélez;18
94;11/06/2026;Mantenimiento;Guarne;Autopistas del Nordeste;Media;Cerrado;Laura Vélez;17
95;11/06/2026;Vandalismo;Aeropuerto José María Córdova;Aeropuerto José María Córdova;Baja;Cerrado;María Restrepo;24
96;6/06/2026;Accidente;Aeropuerto José María Córdova;Autopistas del Nordeste;Baja;Abierto;Laura Vélez;
97;9/06/2026;Falla mecánica;Túnel de Oriente;Aeropuerto José María Córdova;Media;Abierto;Carlos Gómez;
98;18/05/2026;Inundación;Peaje Copacabana;Túnel de Oriente;Media;Cerrado;Andrés Cano;5
99;22/05/2026;Falla eléctrica;Guarne;Túnel de Oriente;Baja;Abierto;Juan Pérez;
100;21/05/2026;Accidente;Peaje Las Palmas;Vía al Oriente;Baja;Abierto;María Restrepo;
